"","Name","ID","F635_B635","F532_B532","F532_B532_plum","ratio","log635_532"
"5578","IGFBP1 | Hs.102122 | IMAGE:668685 | AA2*","hAA0323",565,25798,20734.7824513834,0.027248899347015,-3.60274214962385
"5599","GPC3 | Hs.119651 | IMAGE:878564 | AA775*","hAB7211",1174,32582,26187.3277707952,0.0448308437682319,-3.10485889948328
"1204","FN1 | Hs.287820 | IMAGE:139009 | R62612","hAA1129",627,12538,10077.2425139718,0.0622194016994908,-2.7770884034462
"9896","IMAGE:61467","hAE0838",2410,47303,38019.1260678266,0.0633891477594864,-2.7584626031764
"5515","Hs.119766 | IMAGE:450001 | AA703491","hAD0694",1462,25766,20709.06289799,0.0705971104149721,-2.65076606428695
"10707","RIS1 | Hs.35861 | IMAGE:502664 | AA1270*","hAA6336",1559,24436,19640.0939600746,0.0793784389814638,-2.53352849695709
"8884","IMAGE:1012839 | g2348308","hAE0314",2316,35496,28529.4146016864,0.0811793733707771,-2.51109408661107
"5331","Hs.119766 | IMAGE:450001 | AA703491","hAD0694",1524,23009,18493.1626259354,0.0824088356776085,-2.49606261871815
"7012","PLOD2 | Hs.41270 | IMAGE:490995 | AA136*","chAA6160",1368,20452,16438.0095625899,0.0832217547259089,-2.4862464902626
"11000","CGA | Hs.119689 | IMAGE:454908 | AA6774*","hAA8992",482,7177,5768.41358452511,0.0835585023398909,-2.48220826562468
"4257","THBS2 | Hs.108623 | IMAGE:191664 | H382*","hAA2380",1003,13253,10651.9137851068,0.0941614831132382,-2.36274406516395
"6252","MCAM | Hs.211579 | IMAGE:897531 | AA497*","hAA2358",824,10729,8623.28401119826,0.0955552430987948,-2.34805073697248
"3553","AGT | Hs.3697 | IMAGE:2019101 | AI359985","hAC8533",822,10691,8592.74204154354,0.0956621292744338,-2.34693278220253
"9777","TGFB2 | Hs.169300 | IMAGE:666218 | AA23*","hAA0044",1990,25458,20461.512196578,0.0972557639377606,-2.33041102895705
"11795","IGFBP3 | Hs.77326 | IMAGE:898218 | AA59*","hAA1898",4800,59564,47873.7336977363,0.100263748599725,-2.29995107905932
"7749","LDHC | Hs.99881 | IMAGE:795178 | AA4539*","hAA0057",2275,28049,22543.992285404,0.100913803163113,-2.29348856055162
"1404","IMAGE:3454135 | g9770121","hAE0011",501,6135,4930.92062715084,0.101603744591096,-2.28667488830536
"11615","IGFBP3 | Hs.77326 | IMAGE:898218 | AA59*","hAA1898",4714,57144,45928.6924723566,0.10263736558225,-2.27655322558394
"7600","LDHC | Hs.99881 | IMAGE:795178 | AA4539*","hAA0057",2690,32299,25959.8704704719,0.103621472343622,-2.26701070862849
"9625","TGFB2 | Hs.169300 | IMAGE:666218 | AA23*","hAA0044",2180,25848,20774.9692535607,0.104933969980551,-2.25442398396641
"10734","ANLN | Hs.62180 | IMAGE:128711 | R16712","hAC8933",1387,16199,13019.7201693914,0.106530707415721,-2.23932200285051
"10627","ITGA2 | Hs.271986 | IMAGE:811740 | AA46*","hAA0303",743,8250,6630.82235924929,0.11205246645819,-2.18878806685618
"10240","FKBP2 | Hs.227729 | IMAGE:143519 | R758*","hAA1140",2292,24062,19339.4966797887,0.11851394262992,-2.13272466600405
"3697","AGT | Hs.3697 | IMAGE:2019101 | AI359985","hAC8533",737,7699,6187.96379925579,0.119102183514493,-2.12777346933392
"4074","THBS2 | Hs.108623 | IMAGE:191664 | H382*","hAA2380",1042,10703,8602.38687406608,0.12112917208378,-2.11089776491627
"3720","MAGEA2 | Hs.36980 | IMAGE:1505360 | AA9*","hAC1048",999,10103,8120.14524793886,0.123027355976616,-2.09534854202439
"6772","PLOD2 | Hs.41270 | IMAGE:490995 | AA136*","chAA6160",1702,17156,13788.8955630643,0.123432655807407,-2.09205956874866
"9704","TYRP1 | Hs.75219 | IMAGE:768344 | AA424*","hAA5073",512,5115,4111.10986273456,0.124540578358428,-2.08312368559143
"11789","SERPINE1 | Hs.82085 | IMAGE:244307 | N7*","hAA0184",2447,24423,19629.6453915085,0.124658390469882,-2.08217815904462
"10580","ANLN | Hs.62180 | IMAGE:128711 | R16712","hAC8933",2661,26395,21214.61286938,0.125432409084435,-2.07598823852524
"7005","BNIP3 | Hs.79428 | IMAGE:359982 | AA063*","hAA0935",1625,16049,12899.1597628596,0.125977197730262,-2.07165435880253
"6150","ANLN | Hs.62180 | IMAGE:128711 | R16712","hAC8933",1040,9853,7919.21123705252,0.131326210258672,-2.03007089643226
"11643","SPP1 | Hs.313 | IMAGE:378461 | AA775616","hAB7103",2547,23837,19158.656069991,0.132942519073114,-2.01783843160048
"4267","Hs.251664 | IMAGE:207274 | H59614","hAD6182",2386,22133,17789.0898517896,0.134127154333304,-2.00896701602939
"6821","BNIP3 | Hs.79428 | IMAGE:359982 | AA063*","hAA0935",1711,15676,12599.3662186172,0.135800481572777,-1.99656851767254
"5829","SCYA20 | Hs.75498 | IMAGE:1874367 | AI2*","hAD1534",416,3809,3061.43058986431,0.135884184791672,-1.99595233846255
"11397","IMAGE:2596942 | g6074611","hAD9973",749,5968,4796.69670787876,0.156149126287209,-1.85694379061159
"6607","ALDH1A2 | Hs.95197 | IMAGE:782730 | AA4*","hAA7434",1856,14596,11731.3312915882,0.158208813123436,-1.8438395164554
"4084","Hs.251664 | IMAGE:207274 | H59614","hAD6182",2566,20116,16167.9542519586,0.158709009192622,-1.84068288436148
"10780","ITGA2 | Hs.271986 | IMAGE:811740 | AA46*","hAA0303",614,4804,3861.14795319195,0.159020065390764,-1.83872488729794
"11609","SERPINE1 | Hs.82085 | IMAGE:244307 | N7*","hAA0184",3268,25462,20464.7271407522,0.159689400084515,-1.83452459988691
"5899","Hs.188985 | IMAGE:461268 | AA699850","hAC4375",2342,17467,14038.857472607,0.166822692271774,-1.79082375351594
"6985","IMAGE:137387 | R38133","hAA2841",688,5120,4115.12854295229,0.167187973065457,-1.78863651234542
"7730","MAGEA3 | Hs.36978 | IMAGE:1631546 | AA9*","hAC8232",4047,29005,23312.3639430334,0.173598868389724,-1.75100799526951
"7715","SCD | Hs.119597 | IMAGE:123474 | R00707","hAA0863",1937,13799,11090.7536648825,0.174649988497469,-1.74497137358977
"8245","CDC2 | Hs.334562 | IMAGE:898286 | AA598*","hAA2332",720,5089,4090.21272560238,0.176029964283572,-1.73710104682394
"3992","SFRP1 | Hs.7306 | IMAGE:82225 | T68892","hAA9458",1057,7437,5977.38495584691,0.176833181701987,-1.73254846707827
"10979","TMEFF1 | Hs.336224 | IMAGE:781766 | AA4*","hAA1647",379,2639,2121.05941891623,0.178684291736463,-1.72213476366611
"565","IL1RN | Hs.81134 | IMAGE:84295 | T72877","hAA1619",360,2497,2006.92890073279,0.179378551910112,-1.71825689107483
"6073","MCAM | Hs.211579 | IMAGE:897531 | AA497*","hAA2358",2894,20043,16109.2815207798,0.179647987172299,-1.71675596964737
"3546","MAGEA2 | Hs.36980 | IMAGE:1505360 | AA9*","hAC1048",887,6084,4889.93008893002,0.18139318637868,-1.70708830331481
"4760","SEMA3C | Hs.171921 | IMAGE:486591 | AA0*","chAA8399",725,4897,3935.89540524167,0.184202049433141,-1.69172202909285
"340","DLG5 | Hs.170290 | IMAGE:108395 | T77840","hAA2907",191,1275,1024.76345552035,0.186384476311185,-1.6799436617911
"5505","","xAA0121",1222,8135,6538.39271424158,0.186896084925934,-1.67720251216681
"10783","CRH | Hs.75294 | IMAGE:34671 | R45054","hAA0634",1973,13122,10546.6243634023,0.187074075269664,-1.67625061612742
"9409","IMAGE:165434","hAD9930",680,4451,3577.42912982044,0.190080634814457,-1.66030690309091
"7708","Hs.274691 | IMAGE:1613496 | AA991950","hAD1130",1021,6656,5349.66710583797,0.190852996981028,-1.65625179658159
"4173","DSG2 | Hs.348710 | IMAGE:321902 | W37448","hAA6466",590,3825,3074.29036656104,0.191914207720068,-1.65070684160608
"11014","ABCC2 | Hs.193852 | IMAGE:196387 | R915*","hAA2452",522,3309,2659.56256809163,0.196272878202885,-1.62824935228418
"5000","SEMA3C | Hs.171921 | IMAGE:486591 | AA0*","chAA8399",805,5010,4026.7175781623,0.199914690904989,-1.60986454890556
"10886","APG-1 | Hs.71992 | IMAGE:786605 | AA478*","hAB5235",316,1964,1578.5375895231,0.200185286747253,-1.60851190757271
"3810","SFRP1 | Hs.7306 | IMAGE:82225 | T68892","hAA9458",1130,6978,5608.47011185958,0.201480970293578,-1.60206034228554
"9668","IMAGE:147506 | g857912","hAE0171",3094,18925,15210.7046240961,0.203409380200482,-1.59253467941785
"2742","CDC6 | Hs.69563 | IMAGE:204214 | H59203","hAA0812",824,4999,4017.8764816833,0.20508345733286,-1.58433827374931
"7943","MLANA | Hs.154069 | IMAGE:266361 | N265*","hAA0444",1107,6707,5390.65764405879,0.205355278167231,-1.58301373563631
"7672","DKFZP434H0820 | Hs.109857 | IMAGE:27111*","hAB8680",2512,15189,12207.9467654106,0.205767607630579,-1.58100786529514
"10803","N33 | Hs.71119 | IMAGE:1699281 | AI0495*","hAD5257",1341,8096,6507.04700854331,0.206084264988306,-1.57947014049078
"6910","CAV1 | Hs.74034 | IMAGE:377461 | AA0558*","hAA9083",4705,28367,22799.5803472515,0.20636344741175,-1.57811635693136
"10600","CRH | Hs.75294 | IMAGE:34671 | R45054","hAA0634",1917,11186,8990.5913830985,0.213222903623869,-1.5454171645811
"6527","PAICS | Hs.117950 | IMAGE:273546 | N332*","hAA8249",4585,26726,21480.6494997935,0.213447922049288,-1.54436240089565
"3383","Hs.119766 | IMAGE:450001 | AA703491","hAD0694",1750,10185,8186.05160350958,0.213778276116624,-1.54281589398855
"10889","HSPC150 | Hs.5199 | IMAGE:796469 | AA46*","hAB5272",1225,7103,5708.93711730275,0.214575843949524,-1.53909201826419
"8753","EPS8 | Hs.2132 | IMAGE:148028 | H13623","hAA8520",779,4475,3596.71879486553,0.216586295573637,-1.52976621708342
"4945","GAL | Hs.1907 | IMAGE:2237353 | AI623173","hAD1695",1032,5910,4750.08001735313,0.21725949799369,-1.52666279660384
"10342","PTTG1 | Hs.252587 | IMAGE:781089 | AA43*","hAA9237",176,1007,809.362195850186,0.217455177548937,-1.52576252992562
"7716","STK15 | Hs.250822 | IMAGE:129865 | R191*","hAA0871",3425,19595,15749.2077732715,0.217471256288375,-1.52568859218261
"8091","CDC2 | Hs.334562 | IMAGE:898286 | AA598*","hAA2332",675,3861,3103.22486412867,0.217515658566215,-1.52548443763691
"3853","AREG | Hs.270833 | IMAGE:1410444 | AA85*","hAB6728",646,3685,2961.76732046468,0.21811301500168,-1.52274193308604
"7947","GGH | Hs.78619 | IMAGE:809588 | AA455800","hAA0635",2465,13968,11226.5850562417,0.219568104428115,-1.5160928238478
"449","IL1RN | Hs.81134 | IMAGE:84295 | T72877","hAA1619",526,2972,2388.70352141684,0.220203133324812,-1.51320482534515
"10598","SIL | Hs.323032 | IMAGE:452818 | AA7048*","hAC1038",276,1553,1248.20207562596,0.221118042814974,-1.50905858967675
"6699","PAICS | Hs.117950 | IMAGE:273546 | N332*","hAA8249",4325,24273,19509.0849849767,0.221691586423993,-1.50646811335518
